ImageNumber,ObjectNumber,Children_FilterObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
28,8,1,91.01948051948052,80.8051948051948,0,8
28,9,1,76.78947368421052,98.98245614035088,0,9
28,10,1,82.8786610878661,104.73221757322176,0,10
28,11,1,53.59477124183007,109.45098039215686,0,11
28,12,1,66.3921568627451,108.66176470588235,0,12
28,13,1,38.09665427509294,126.17100371747212,0,13
28,14,1,54.51428571428571,123.43809523809524,0,14
28,15,1,68.89285714285714,127.41517857142857,0,15
28,16,1,74.61928934010152,134.12182741116752,0,16
28,17,1,58.975247524752476,138.27722772277227,0,17
28,18,1,41.840531561461795,151.98671096345515,0,18
28,19,1,49.52136752136752,152.52136752136752,0,19
28,20,1,33.278481012658226,158.0210970464135,0,20
28,21,1,59.414847161572055,159.117903930131,0,21
28,22,1,65.8828125,163.42578125,0,22
28,23,1,47.423611111111114,188.51041666666666,0,23
28,24,1,31.44495412844037,186.85321100917432,0,24
28,25,1,39.05194805194805,184.42857142857142,0,25
28,26,1,55.435483870967744,191.4758064516129,0,26
28,27,1,40.94326241134752,205.75886524822695,0,27
28,28,1,59.48068669527897,211.0343347639485,0,28
28,29,1,33.33802816901409,217.07981220657277,0,29
28,30,1,42.14093959731544,224.95302013422818,0,30
