ImageNumber,ObjectNumber,Orientation,lable,divideFlag
28,10,63.34791336525503,8.0,False
28,11,82.19638785374897,9.0,False
28,12,-27.50936121213362,9.0,False
28,13,71.66685985379941,10.0,False
28,14,73.33983312455925,12.0,False
28,15,-87.00881862117419,12.0,False
28,16,35.61800028026836,13.0,False
28,17,-89.03473224638046,13.0,False
29,1,66.41610839458286,1.0,False
29,2,-73.30179128373813,1.0,False
29,3,-88.13773884715476,2.0,False
29,4,85.554947408041,2.0,False
29,5,-57.58749043112087,3.0,False
29,6,-25.04697359877081,4.0,False
29,7,-22.157244691723477,4.0,False
29,8,32.71713292940868,5.0,False
29,9,28.71396155089105,5.0,False
29,10,28.59896317994236,6.0,False
29,11,-26.81276317085997,7.0,False
29,12,65.51005323033046,8.0,False
29,13,83.23677783872601,9.0,False
29,14,70.71614939169741,9.0,False
29,15,72.2241570103683,10.0,False
29,16,72.65419001846155,12.0,False
29,17,-86.60388739544894,12.0,False
29,18,36.56502747184325,13.0,False
29,19,-88.78865216528318,13.0,False
30,1,66.37348584284159,1.0,False
30,2,85.07797372978983,1.0,False
30,3,-57.32494284711312,3.0,False
30,4,-25.710459725258605,4.0,False
30,5,-22.63148263771095,4.0,False
30,6,33.40284548987891,5.0,False
30,7,29.205728484690752,6.0,False
30,8,-26.555650152539677,7.0,False
30,9,66.05786209206671,8.0,False
30,10,81.24649394318227,9.0,False
30,11,72.09582421045292,10.0,False
30,12,72.8700397802295,12.0,False
30,13,-86.91183865710312,12.0,False
30,14,35.38777731880964,13.0,False
30,15,-89.1758014183713,13.0,False
31,1,66.9968200237264,1.0,False
31,2,84.47546532607133,1.0,False
31,3,-57.15845700009501,3.0,False
31,4,-27.40881922607788,4.0,False
31,5,-21.29548885020957,4.0,False
31,6,33.13789242131919,5.0,False
31,7,29.301656240701107,6.0,False
31,8,-26.279811402038398,7.0,False
31,9,66.35561757918289,8.0,False
31,10,81.52601019080757,9.0,False
31,11,72.46384259797834,10.0,False
31,12,72.41937493830211,12.0,False
31,13,-87.19189752529182,12.0,False
31,14,34.72136101323132,13.0,False
31,15,-89.38049259678003,13.0,False
32,1,67.31650591079878,1.0,False
32,2,84.2755475451026,1.0,False
32,3,-57.85840149867683,3.0,False
32,4,-29.0830768830878,4.0,False
32,5,-22.68165730043228,4.0,False
32,6,33.79888187401787,5.0,False
32,7,28.72801659170248,6.0,False
32,8,-25.52610138459096,7.0,False
32,9,66.70031225398863,8.0,False
32,10,81.43166448802397,9.0,False
32,11,72.03446908200708,10.0,False
32,12,71.97833181713733,12.0,False
32,13,-87.0760974800863,12.0,False
32,14,34.74617482882447,13.0,False
32,15,88.91937398902962,13.0,False
33,1,67.12983783942197,1.0,True
33,2,84.40115455223005,1.0,False
33,3,-57.772627259312586,3.0,False
33,4,-31.123794223261037,4.0,False
33,5,-23.69796662837034,4.0,False
33,6,33.73274360276737,5.0,True
33,7,28.699325424817573,6.0,False
33,8,-24.99170762194601,7.0,False
33,9,68.9456993623532,8.0,True
33,10,81.0771428582284,9.0,False
33,11,73.00003893769538,10.0,False
33,12,71.42715736491687,12.0,False
33,13,-87.57793297599221,12.0,False
33,14,35.282260155701046,13.0,False
33,15,88.32847552208204,13.0,False
34,1,66.59129396929971,1.0,False
34,2,84.16133677957055,1.0,True
34,3,-8.401292721051696,1.0,False
34,4,-57.30967266899974,3.0,False
34,5,-32.193075030794986,4.0,False
34,6,-23.445142068075462,4.0,False
34,7,34.780584648808734,5.0,False
34,8,29.84137264077388,5.0,False
34,9,28.80243588097945,6.0,False
34,10,-24.650679242156805,7.0,False
34,11,71.20798138962832,8.0,False
34,12,72.35665292561694,8.0,False
34,13,81.07898847168953,9.0,False
34,14,72.76211204317265,10.0,False
34,15,71.96855872445816,12.0,False
34,16,-87.83270018188556,12.0,False
34,17,34.203016888141164,13.0,False
34,18,88.28596965144683,13.0,False
35,1,66.82932935135895,1.0,False
35,2,-72.68433399441595,1.0,False
35,3,88.24784767909271,1.0,False
35,4,-58.05872802788695,3.0,False
35,5,-32.70850669268957,4.0,False
35,6,-25.42263650992166,4.0,False
35,7,33.708910926752665,5.0,False
35,8,29.696898288716795,5.0,False
35,9,28.99338982893738,6.0,True
35,10,-23.55684011015421,7.0,False
35,11,70.67283057999622,8.0,False
35,12,81.46873809303575,9.0,False
35,13,72.50966686583311,10.0,False
35,14,71.89653567886599,12.0,False
35,15,-88.91938691427966,12.0,False
35,16,33.140255462920244,13.0,False
35,17,88.39120932273117,13.0,False
36,1,66.81418251561666,1.0,False
36,2,-71.30208194137303,1.0,False
36,3,89.07692440383185,1.0,False
36,4,-58.20933759661567,3.0,False
36,5,-32.65662252056695,4.0,False
36,6,-25.29583019861731,4.0,False
36,7,33.67953144943042,5.0,False
36,8,27.1675844195408,5.0,False
36,9,25.675683501900654,6.0,False
36,10,-22.51881518107904,7.0,False
36,11,28.445707811863397,6.0,False
36,12,72.76628994037118,8.0,False
36,13,81.32629141664013,9.0,True
36,14,72.92506567631969,10.0,False
36,15,72.09249573461638,12.0,False
36,16,-89.6400834848837,12.0,False
36,17,34.11403173218155,13.0,False
