CellNumber,GrowthRate,BirthLength,LifeHistory
303,0,18,48
304,0.028015522,21,24
305,0.017530197,20,26
306,0.024909875,22,25
307,0.107695729,26,5
308,0.029940328,16,29
309,0.15415068,6,2
310,0.041266613,13,25
311,0,18,2
312,0.018692902,20,19
313,0.15415068,6,2
314,0.100331067,9,13
315,0,7,4
316,0.122181816,19,6
317,-0.875468737,12,2
318,0.02743668,19,20
319,0.029216995,20,16
320,-0.147277584,14,4
321,0.135155036,22,4
322,0.019592889,20,31
323,0.017248218,14,5
325,0.238877861,5,5
326,0.029389333,20,21
327,0.023317324,20,25
328,0.035838971,20,23
329,0.043159338,14,27
330,0.030461712,22,23
331,0.026806306,22,26
333,0.028319774,21,21
334,0.034182847,20,22
335,0.030470696,24,27
336,0.030655224,26,21
337,0.014722879,8,9
338,0.013699487,36,3
339,0.055685808,16,17
340,0.00170281,23,73
341,0.029197164,22,33
342,-0.103173201,13,7
343,0.075458846,24,6
344,0.051531776,9,25
346,0,7,2
347,-0.105360516,10,2
348,0.032258145,20,24
349,0.025919815,22,20
350,0.02043494,25,24
351,0.020937548,25,28
352,-0.039422868,22,21
353,0.017203818,24,12
354,0.025555942,20,24
355,0.017066201,22,13
356,0.026271181,14,26
357,0.026428553,19,17
358,0.135155036,6,4
359,0.035335446,25,15
360,0.036414071,21,18
361,0.022034184,19,37
362,0.026152916,18,23
363,0.022292184,21,17
364,-0.017231317,20,26
365,0.405465108,4,2
366,-0.139903947,14,5
367,0.189421425,15,5
368,0,12,2
369,0.020633794,25,20
370,0.003969942,27,19
371,0.026152916,18,12
372,0.026743912,20,25
373,0.029722912,21,13
374,0.02989185,22,21
375,0.028961793,24,15
376,0.030386926,25,7
377,0.091931195,27,5
378,0.044510464,14,4
379,0.035176892,22,15
380,0.027262819,22,22
381,0.028961793,32,15
382,0.036143754,12,19
383,0,28,32
384,0.026328049,14,47
385,-0.080042708,13,2
387,0.109391169,8,15
388,0.021660849,22,33
389,0.025104597,23,21
390,0.067577518,4,7
391,0,3,2
392,0.026531413,20,21
393,0.139761942,20,2
394,0,6,2
395,0.030596764,19,17
396,0.032092694,20,21
397,0.028662853,15,24
398,0.025576012,18,27
399,0,6,4
400,0.02097761,21,28
401,0.024119466,20,23
402,0.013340451,12,7
403,0.055785888,4,5
404,0.065677954,14,11
405,0.025745249,21,23
406,0.366204096,4,4
407,-0.086643398,16,9
408,0.026795784,22,10
409,0.024086577,23,25
410,0.01838508,19,24
411,0.02890858,18,23
412,0.051909841,13,5
413,0.077016353,22,10
414,0.034768086,14,14
415,-0.009297783,18,36
416,0.025766014,18,30
417,0.026252183,16,18
418,0.028468429,22,22
419,0.017381141,23,20
420,0,6,3
421,0.070722881,6,20
422,0.020273255,20,21
423,0.019297096,28,30
424,0.040347517,15,22
425,0.023055242,21,15
426,0.02862596,22,21
427,0.029294554,20,22
428,-0.056769464,21,18
429,0.026435795,24,28
430,-0.029862658,24,61
431,-0.035960259,8,9
432,0.063130783,7,29
433,0.135966858,16,3
434,-0.041097439,12,8
435,0.039464768,22,8
436,0.356674944,14,2
438,0.099117851,16,7
439,-0.128864981,13,7
440,0.024211774,18,35
441,0.041503378,15,28
442,0.045562543,13,31
444,0.033590026,19,26
445,-0.04765509,11,3
446,0.026497762,20,29
447,0.015330769,18,48
448,0.03819085,4,51
449,-0.008648924,36,26
450,0.027613095,28,13
451,0.136501635,10,8
452,0.030088947,17,25
453,0.003975216,20,67
454,0.044333827,6,27
458,0.044594624,18,20
459,0.026036644,25,20
460,0.013434071,19,35
461,0.006980956,21,37
462,0.025439551,18,26
463,0.035257835,16,24
464,0.037235495,19,15
465,0.03093614,20,20
466,0.054781866,20,9
467,0.03187765,12,8
468,0.08146317,9,19
470,0.034055042,21,16
471,0.020942869,28,13
472,-0.090295616,27,12
473,0.028361965,25,24
474,0.033558414,23,21
475,0.014013698,6,12
476,0,4,2
477,0,5,2
478,0.102095142,19,9
479,0,13,2
480,0.010724797,20,18
481,0.032477572,19,32
482,0.017628918,20,24
483,0.045580389,5,5
485,0.032269261,15,3
486,0.137326536,11,9
487,0.09531018,10,2
488,-0.223143551,5,2
489,-0.405465108,6,2
490,0.028765458,22,20
491,-0.154032707,24,10
492,0.032947985,21,19
493,0.031304844,21,39
495,0.027980789,24,21
496,0.019466545,29,30
497,0.045965598,18,9
498,0.028620169,13,6
499,0.032546157,39,4
500,0.027697538,19,15
502,0,6,8
503,0.202732554,4,3
504,0.031705677,21,18
505,0.010408151,22,37
506,0.02862596,22,21
507,0.025104597,23,21
508,0,10,5
509,0.055785888,8,5
510,0.03177006,10,4
511,0.048417021,9,36
512,0,7,2
