CellId,GrowthRate,birthLength,LifeHistory,AverageVelocity,AverageLength,AverageOrientation
4146,0,10,1,NaN,NaN,NaN
4147,0.0234134479239614,9,3,78.8394001043264,14.3333333333333,-0.429144489556018
4148,0.687141012059053,7,2,109.022214505525,31,0.130856342077383
4149,0,17,1,NaN,NaN,NaN
4150,0,22,1,NaN,NaN,NaN
4151,0,11,1,NaN,NaN,NaN
4152,-0.165011125770524,356,2,28.3145110588476,286.5,-1.33097436062249
4153,-0.26754951207243,100,3,3.90883457942197,51.3333333333333,0.0776067475831282
4154,0,1,1,NaN,NaN,NaN
4155,0.0325785498204168,19,3,-26.2814132798513,20.3333333333333,0.20965991360823
4156,0.0405159015097678,20,3,-21.2060028337789,22.3333333333333,0.502916848968199
4157,0,9,1,NaN,NaN,NaN
4158,0.154032706791099,11,3,-17.6216916337246,18.6666666666667,0.212985601588183
4159,0.0901033573573698,12,3,-23.50071693847,16,0.405892417693512
4160,0.0537560491987075,160,2,-3.88624005291478,174,0.0612571206454679
4161,-0.0713439480656848,193,3,-22.3037340921527,166,0.00266512818834851
4162,0.0678625887891515,14,3,-23.7196378950474,16.6666666666667,-0.41075277109005
4163,0,8,1,NaN,NaN,NaN
4164,0,19,1,NaN,NaN,NaN
4165,0,12,1,NaN,NaN,NaN
4166,0,18,1,NaN,NaN,NaN
4167,0,7,1,NaN,NaN,NaN
4168,0,26,1,NaN,NaN,NaN
4169,0.0991749116952043,16,3,-7.60510835576926,20.3333333333333,1.13622232857101
4170,-0.0103377812521985,22,3,-4.88087327448312,21.3333333333333,-0.281107190274245
4171,0,17,1,NaN,NaN,NaN
4172,0,15,1,NaN,NaN,NaN
4173,-0.111283397313887,33,3,-17.9729510385752,26,1.01180878859772
4174,0,10,1,NaN,NaN,NaN
4175,0.231049060186648,10,2,27.6895232466737,15,1.55601775490945
4176,0,1,1,NaN,NaN,NaN
4177,0,11,1,NaN,NaN,NaN
4178,0,1,1,NaN,NaN,NaN
4179,0.019335861553251,22,3,-12.419575257507,22,1.2030298322326
4180,0.0317700599347751,20,2,-20.3548065409345,21,1.07547755211865
4181,0,9,1,NaN,NaN,NaN
4182,-0.0928300445999953,41,3,-25.7569599817131,31.6666666666667,-0.99127246878212
4183,0,1,1,NaN,NaN,NaN
4184,-0.0469575763704904,21,3,-27.4729858008714,21,-1.11558026351447
4185,0.0689233174008532,22,3,-22.8110475722516,26.6666666666667,-0.979908948900324
4186,0,25,1,NaN,NaN,NaN
4187,0.0671735270828741,17,3,-20.2282089581992,20.6666666666667,0.583673319961481
4188,0,18,3,-20.1222070480752,18,0.898085699399051
4189,0.113516805281331,18,3,-2.86946594406729,24.6666666666667,0.275158737238222
4190,0,1,1,NaN,NaN,NaN
4191,0,14,1,NaN,NaN,NaN
4192,0.031058209416702,20,3,-14.6032652471114,21.6666666666667,0.700658484110746
4193,0.0495874558476022,20,3,-14.0914185480813,23,0.83010537834158
4194,0.116102231422739,24,2,-1.93372444406541,29,-1.45205745608105
4195,0,1,1,NaN,NaN,NaN
4196,0.0455098694768918,22,3,-22.9127121471394,25,-0.584163488191428
4197,0,1,1,NaN,NaN,NaN
