CellId,birth Length,AverageLength,AverageVelocity,LifeHistory,growth rate
351.0,14.6496515274048,25.412596566336507,0.81,21.0,0.024
352.0,21.0019702911377,24.821095784505204,-0.691,15.0,0.002
353.0,24.677583694458,28.875441823686877,0.513,14.0,0.006
354.0,4.42539215087891,4.42539215087891,0.0,1.0,0.0
355.0,7.12062406539917,7.12062406539917,0.0,1.0,0.0
356.0,10.3657636642456,10.3657636642456,0.0,1.0,0.0
359.0,6.74234437942505,6.74234437942505,0.0,1.0,0.0
360.0,19.9241199493408,20.37663383483886,-0.446,10.0,-0.04
361.0,16.6857376098633,17.86078524589537,-0.311,8.0,0.015
363.0,20.5502834320068,25.091994421822672,0.062,7.0,0.026
364.0,18.6239738464355,18.6239738464355,0.0,1.0,0.0
365.0,15.3955345153809,15.3955345153809,0.0,1.0,0.0
366.0,6.97945928573608,6.97945928573608,0.0,1.0,0.0
367.0,10.7388620376587,14.48472433090212,-0.047,10.0,0.03
368.0,5.7535195350647,5.7535195350647,0.0,1.0,0.0
369.0,13.2662544250488,11.946089108784967,0.331,3.0,-0.05
370.0,20.6600646972656,21.028306325276663,1.262,3.0,0.01
371.0,9.26686096191406,9.46104383468628,0.713,2.0,0.014
372.0,4.31984949111938,4.31984949111938,0.0,1.0,0.0
373.0,12.4392318725586,11.179911851882924,0.54,4.0,-0.031
374.0,20.3574104309082,24.07989921569824,-0.767,15.0,-0.022
375.0,17.4260215759277,17.4260215759277,0.0,1.0,0.0
376.0,12.7460765838623,12.522029399871826,0.327,4.0,-0.003
377.0,4.56443452835083,4.56443452835083,0.0,1.0,0.0
378.0,27.7785816192627,27.7785816192627,0.0,1.0,0.0
379.0,2.57692313194275,2.57692313194275,0.0,1.0,0.0
380.0,32.2027397155762,37.65894017900741,0.698,14.0,0.008
383.0,24.7483615875244,24.7483615875244,0.0,1.0,0.0
384.0,8.6081657409668,8.6081657409668,0.0,1.0,0.0
385.0,15.5566930770874,18.240347743034363,-0.097,8.0,0.011
386.0,8.59024524688721,8.59024524688721,0.0,1.0,0.0
387.0,10.7708969116211,11.41328048706056,-0.367,5.0,0.004
388.0,6.74463891983032,6.74463891983032,0.0,1.0,0.0
389.0,22.0151042938232,20.801492055257167,-1.094,3.0,-0.052
390.0,13.4184007644653,22.746780967712404,0.021,20.0,0.024
